path, id, serie, tilt, pan
./output/10/10_-60_-30_0.jpg,10,2,-60,-30
./output/10/10_0_75_1.jpg,10,1,0,75
./output/10/10_-30_30_2.jpg,10,1,-30,30
./output/10/10_60_-45_3.jpg,10,1,60,-45
./output/10/10_30_90_4.jpg,10,2,30,90
./output/10/10_-30_90_5.jpg,10,2,-30,90
./output/10/10_15_-90_6.jpg,10,2,15,-90
./output/10/10_-15_-15_7.jpg,10,2,-15,-15
./output/10/10_-60_-45_8.jpg,10,2,-60,-45
./output/10/10_-30_60_9.jpg,10,2,-30,60
./output/10/10_15_75_10.jpg,10,2,15,75
./output/10/10_30_-45_11.jpg,10,1,30,-45
./output/10/10_15_-60_12.jpg,10,1,15,-60
./output/10/10_0_45_13.jpg,10,1,0,45
./output/10/10_-30_-30_14.jpg,10,1,-30,-30
./output/10/10_-30_-45_15.jpg,10,2,-30,-45
./output/10/10_-90_0_16.jpg,10,2,-90,0
./output/10/10_-60_15_17.jpg,10,2,-60,15
./output/10/10_-15_-15_18.jpg,10,1,-15,-15
./output/10/10_15_15_19.jpg,10,1,15,15
./output/10/10_0_-60_20.jpg,10,2,0,-60
./output/10/10_60_-45_21.jpg,10,2,60,-45
./output/10/10_15_-30_22.jpg,10,1,15,-30
./output/10/10_0_15_23.jpg,10,1,0,15
./output/10/10_-60_45_24.jpg,10,2,-60,45
./output/10/10_-30_90_25.jpg,10,1,-30,90
./output/10/10_-30_-60_26.jpg,10,1,-30,-60
./output/10/10_15_90_27.jpg,10,1,15,90
./output/10/10_30_-15_28.jpg,10,1,30,-15
./output/10/10_-60_0_29.jpg,10,1,-60,0
./output/10/10_15_90_30.jpg,10,2,15,90
./output/10/10_60_-30_31.jpg,10,1,60,-30
./output/10/10_60_0_32.jpg,10,1,60,0
./output/10/10_-60_-60_33.jpg,10,2,-60,-60
./output/10/10_-30_0_34.jpg,10,1,-30,0
./output/10/10_15_60_35.jpg,10,2,15,60
./output/10/10_60_15_36.jpg,10,2,60,15
./output/10/10_-30_60_37.jpg,10,1,-30,60
./output/10/10_0_-15_38.jpg,10,1,0,-15
./output/10/10_-30_75_39.jpg,10,2,-30,75
./output/10/10_-15_30_40.jpg,10,2,-15,30
./output/10/10_-60_-15_41.jpg,10,2,-60,-15
./output/10/10_60_45_42.jpg,10,1,60,45
./output/10/10_15_-60_43.jpg,10,2,15,-60
./output/10/10_15_30_44.jpg,10,1,15,30
./output/10/10_0_45_45.jpg,10,2,0,45
./output/10/10_15_-90_46.jpg,10,1,15,-90
./output/10/10_0_15_47.jpg,10,2,0,15
./output/10/10_60_-90_48.jpg,10,2,60,-90
./output/10/10_-60_-30_49.jpg,10,1,-60,-30
./output/10/10_-60_90_50.jpg,10,1,-60,90
./output/10/10_15_45_51.jpg,10,1,15,45
./output/10/10_-15_-90_52.jpg,10,1,-15,-90
./output/10/10_15_-15_53.jpg,10,1,15,-15
./output/10/10_0_-60_54.jpg,10,1,0,-60
./output/10/10_30_15_55.jpg,10,1,30,15
./output/10/10_0_-75_56.jpg,10,1,0,-75
./output/10/10_-15_15_57.jpg,10,2,-15,15
./output/10/10_-15_-60_58.jpg,10,2,-15,-60
./output/10/10_-30_45_59.jpg,10,1,-30,45
./output/10/10_-30_15_60.jpg,10,1,-30,15
./output/10/10_-15_75_61.jpg,10,2,-15,75
./output/10/10_-60_0_62.jpg,10,2,-60,0
./output/10/10_-15_-30_63.jpg,10,1,-15,-30
./output/10/10_-30_45_64.jpg,10,2,-30,45
./output/10/10_60_75_65.jpg,10,2,60,75
./output/10/10_15_-75_66.jpg,10,2,15,-75
./output/10/10_-30_-60_67.jpg,10,2,-30,-60
./output/10/10_-15_75_68.jpg,10,1,-15,75
./output/10/10_0_-90_69.jpg,10,1,0,-90
./output/10/10_-60_30_70.jpg,10,1,-60,30
./output/10/10_-30_15_71.jpg,10,2,-30,15
./output/10/10_30_60_72.jpg,10,2,30,60
./output/10/10_30_75_73.jpg,10,1,30,75
./output/10/10_-15_-45_74.jpg,10,2,-15,-45
./output/10/10_30_45_75.jpg,10,2,30,45
./output/10/10_-60_-45_76.jpg,10,1,-60,-45
./output/10/10_-30_-75_77.jpg,10,1,-30,-75
./output/10/10_-15_0_78.jpg,10,1,-15,0
./output/10/10_-30_30_79.jpg,10,2,-30,30
./output/10/10_15_0_80.jpg,10,1,15,0
